Bruttobetrag,SOLL/HABEN,"Konto (Erlöskonto)","Gegenkonto (Debitor)",Belegdatum,Belegnummer,Buchungstext,Zahlungsart,Dokument
55.96,H,44020,111112,301220,20002362,"A: 12006730 | K: 11414",PayPal,PDF
-51.1,H,44020,111112,090121,21000022,"A: 12006112 | K: 10795",PayPal,PDF
51.1,H,44020,111112,090121,20001774,"A: 12006112 | K: 10795",PayPal,PDF
21.89,H,44020,111112,071220,20002017,"A: 12006374 | K: 11045",PayPal,PDF
35.24,H,44020,111112,261120,20001952,"A: 12006307 | K: 10978",PayPal,PDF
13.29,H,44020,111112,311020,20001784,"A: 12006124 | K: 10806",PayPal,PDF
68.94,H,44020,111112,291020,20001770,"A: 12006107 | K: 10790",PayPal,PDF
36.89,H,44020,111112,141020,20001701,"A: 12006016 | K: 10608","Mollie PayPal",PDF
152.69,H,44020,111112,041120,20001810,"A: 12006125 | K: 10807",PayPal,PDF
61.98,H,44020,111112,201020,20001723,"A: 12006039 | K: 10680","Mollie PayPal",PDF
81.75,H,44020,111112,161120,20001874,"A: 12006231 | K: 10900",PayPal,PDF
87.49,H,44020,111112,020121,20002396,"A: 12006769 | K: 11455",PayPal,PDF
13.49,H,44020,111112,191020,20001715,"A: 12006031 | K: 10661","Mollie PayPal",PDF
62.67,H,44020,111112,281220,20002252,"A: 12006603 | K: 11281",PayPal,PDF
16.89,H,44020,111112,211220,20002182,"A: 12006542 | K: 11219",PayPal,PDF
73.86,H,44020,111112,291220,20002307,"A: 12006670 | K: 11351",PayPal,PDF
58.41,H,44020,111112,061120,20001815,"A: 12006162 | K: 10839",PayPal,PDF
55.96,H,44020,111112,241220,20002234,"A: 12006595 | K: 11271",PayPal,PDF
16.99,H,44020,111112,301220,20002367,"A: 12006732 | K: 11416",PayPal,PDF
28.89,H,44020,111112,301120,20001969,"A: 12006325 | K: 10995",PayPal,PDF
39.68,H,44020,111112,211220,20002194,"A: 12006550 | K: 11228",PayPal,PDF
13.49,H,44020,111112,171120,20001894,"A: 12006250 | K: 10922",PayPal,PDF
51.26,H,44020,111112,181120,20001904,"A: 12006251 | K: 10923",PayPal,PDF
54.91,H,44020,111112,161220,20002103,"A: 12006458 | K: 11131",PayPal,PDF
